City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
469,Boralday,KZ,75.06,clear sky,43.3578,76.8594,"Zhetysu, Too Zhetysu"
471,Santa Isabel,BR,76.3,clear sky,-23.3156,-46.2214,Chácara Sombra do Altíssimo
472,Palu,ID,75.79,overcast clouds,-0.8917,119.8707,Hotel Santika Palu
476,Maneadero,MX,86.18,few clouds,31.7167,-116.5667,Casa De Thompson
481,Makokou,GA,75.78,few clouds,0.5738,12.8642,Motel des voyageurs
482,Kokopo,PG,76.21,overcast clouds,-4.352,152.2633,Kokopo Beach Bungalow Resort
483,Kieta,PG,78.94,light rain,-6.2167,155.6333,Uruna Bay Retreat
484,Zhirnovsk,RU,75.15,clear sky,50.9845,44.7735,Gostinitsa Zhirnovsk
489,Port Blair,IN,80.4,moderate rain,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
491,Kirakira,SB,79.47,overcast clouds,-10.4544,161.9205,SanBiz Lodge
492,Kathu,TH,86.7,overcast clouds,7.9178,98.3332,Novotel Phuket Resort
495,Lewistown,US,79.25,scattered clouds,40.5992,-77.5714,Quality Inn & Suites
496,Melito Di Porto Salvo,IT,75.33,broken clouds,37.9222,15.7714,B&B Nereidi
501,Itarema,BR,84.02,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
504,Kogon,UZ,82.44,clear sky,39.7228,64.5517,"""AFROSIYOB"" HOSTEL"
506,Shelburne,CA,84.76,clear sky,44.0787,-80.2041,The Retreat at the Farm
509,Huron,US,81.97,clear sky,41.1501,-82.5499,Meadow Brook Mobile Estates
511,Haimen,CN,82.29,overcast clouds,23.1935,116.6142,Jinghao Business Hotel
512,Salvador,SV,86.05,broken clouds,13.8333,-88.9167,Chico's Ranch
515,Kaharlyk,UA,80.26,scattered clouds,49.8623,30.8282,Кагарлик Гостиница
517,Indian Head,US,87.35,broken clouds,38.6001,-77.1622,"Red Carpet Inn Indian Head, MD"
520,Sai Buri,TH,78.21,overcast clouds,6.7013,101.6168,ร้าน​ เวดดิ้ง
522,Wentzville,US,85.39,scattered clouds,38.8114,-90.8529,Fairfield Inn & Suites by Marriott St. Louis West/Wentzville
523,Sao Joao Da Barra,BR,84.29,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
525,Nohfelden,DE,75.31,clear sky,49.5869,7.1428,Vicinity
526,Ftelia,GR,83.34,clear sky,41.0833,24.1833,Hotel Αχίλλειον
527,Alexandria,EG,82.36,clear sky,31.2156,29.9553,Royal Crown Hotel
530,The Valley,AI,87.94,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
532,Bonavista,CA,78.8,overcast clouds,48.6499,-53.1147,Abbott's Bed & Breakfast
534,Lixourion,GR,75.45,scattered clouds,38.2019,20.4314,Hotel Summery
535,Kenora,CA,87.19,smoke,49.8167,-94.4337,Maynard Lake Lodge
536,Velyka Lepetykha,UA,82.9,clear sky,47.1757,33.9436,Hotelʹ
539,Taitung,TW,80.33,overcast clouds,22.7583,121.1444,Taitung Bali Suites Hotel
540,Makakilo City,US,78.57,light intensity drizzle,21.3469,-158.0858,Marriott's Ko Olina Beach Club
543,Dwarka,IN,84.13,overcast clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
547,Palauig,PH,78.91,heavy intensity rain,15.435,119.9045,Myhousebythesea
549,Pemangkat,ID,78.64,overcast clouds,1.1667,108.9667,Ramah Kost KITA
550,Barabai,ID,75.0,overcast clouds,-2.5833,115.3833,HOTEL BOURAQ INDAH PERMAI
552,Ambon,ID,77.97,light rain,-3.6954,128.1814,Swiss-Belhotel Ambon
556,Teshie,GH,79.36,few clouds,5.5836,-0.1072,Adinkra Lodge
559,Gonen,TR,77.65,clear sky,40.1049,27.654,Gönen Palmiye Butik Pansiyon
560,Loralai,PK,87.35,clear sky,30.3705,68.598,Sana Poultry Loralai
562,Jeremie,HT,85.3,overcast clouds,18.65,-74.1167,Auberge’Inn
563,Paka,MY,78.73,overcast clouds,4.6374,103.4368,RUMBIA RESORT VILLA
570,Paracatu,BR,87.98,few clouds,-17.2222,-46.8747,Hotel Paracatu Plaza
575,Marquette,US,83.64,clear sky,46.5333,-87.6335,Al Quaal Lodge
576,Meulaboh,ID,76.03,overcast clouds,4.1363,96.1285,Kost Pria
578,Stoughton,US,80.73,overcast clouds,42.1251,-71.1023,"Holiday Inn Express Brockton - Boston, an IHG Hotel"
579,Gien,FR,75.78,clear sky,47.6933,2.6309,Hôtel la Poularde
586,Gasa,PS,84.9,clear sky,31.5,34.4667,رابطة الفنانين الفلسطينيين
587,Dongying,CN,75.74,few clouds,37.4564,118.4856,Wanda Realm
590,Shingu,JP,76.91,few clouds,33.7333,135.9833,Shingu UI Hotel
592,Cururupu,BR,82.98,broken clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
594,Seremban,MY,78.94,overcast clouds,2.7297,101.9381,Klana Resort Seremban
595,Ca Mau,VN,77.38,overcast clouds,9.1769,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
599,San Quintin,MX,78.1,clear sky,30.4833,-115.95,Don Eddie's Sport Fishing Center
602,Lorengau,PG,79.81,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
604,Darnah,LY,78.84,clear sky,32.767,22.6367,فندق الفردوس
607,North Bend,US,77.23,scattered clouds,43.4065,-124.2243,Red Lion Hotel Coos Bay
608,Northam,GB,76.14,scattered clouds,51.0333,-4.2167,Durrant House Hotel
609,Abonnema,NG,77.49,overcast clouds,4.7084,6.7931,Corper's Lodge Obonoma
613,Katsuura,JP,80.11,few clouds,35.1333,140.3,Katsuura Hotel Mikazuki
619,Hastings,GB,86.38,clear sky,50.8552,0.5729,Zanzibar Hotel
620,Fort Dodge,US,82.45,broken clouds,42.4975,-94.168,"Country Inn & Suites by Radisson, Fort Dodge, IA"
621,Vylkove,UA,77.63,clear sky,45.4021,29.586,Pelican City
622,Dano,BF,85.32,overcast clouds,11.15,-3.0667,Auberge Phenix32-Dano
623,Kibala,TD,75.15,light rain,9.1104,18.3463,hotel safari
624,Kovur,IN,82.17,light rain,14.4833,79.9833,Hotel Yesh Park
625,San Andres,CO,87.82,broken clouds,12.5847,-81.7006,Hotel Arena Blanca
630,Carai,BR,82.6,clear sky,-17.1889,-41.6947,Pousada Auto Vale
634,Beihai,CN,83.91,light rain,21.4833,109.1,21 Degree Hostel
635,Seoul,KR,78.4,clear sky,37.5683,126.9778,롯데호텔 서울
636,Dakar,SN,86.88,clear sky,14.6937,-17.4441,Redface Studios Meublés
637,Fiumicino,IT,80.17,clear sky,41.7675,12.2291,Al Porticciolo Hotel
640,Piracuruca,BR,87.24,overcast clouds,-3.9281,-41.7092,Pousada Piracuruca
642,Ajdabiya,LY,78.58,clear sky,30.7554,20.2263,Almadina Hotel
647,Bajna,IN,81.72,overcast clouds,27.9,77.6833,Mr. Uma Shankar Gupta ji
652,Bairiki,KI,83.28,broken clouds,1.3292,172.9752,Tarawa Boutique Hotel
653,Chauk,MM,82.74,overcast clouds,20.8833,94.8167,Bo Khin Guest House
655,Acapulco,MX,86.36,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
659,Vanimo,PG,76.5,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
660,Bonthe,SL,77.65,light rain,7.5264,-12.505,Bonthe Holiday Village
661,Bahia Honda,CU,88.11,clear sky,22.9036,-83.1592,Casa Gualberto - Deysi
664,Andros Town,BS,85.24,clear sky,24.7,-77.7667,Hanks place
666,Kismayo,SO,76.73,scattered clouds,-0.3582,42.5454,Agan-Hotel
671,Mayo,US,85.39,overcast clouds,38.8876,-76.5119,Resorts Resource Group International
673,Rosetta,EG,79.11,clear sky,31.4044,30.4164,Green Valley
676,Yarmouth,US,84.25,overcast clouds,41.7057,-70.2286,Blue Rock Resort
677,Payyannur,IN,76.48,moderate rain,12.1,75.2,Kavvayi Beach House
679,Susaki,JP,75.4,overcast clouds,33.3667,133.2833,Awa
680,Sibolga,ID,75.06,scattered clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
683,Daru,PG,77.59,overcast clouds,-9.0763,143.2092,Daru Lodge
685,Sorong,ID,75.56,moderate rain,-0.8833,131.25,waigo splash hotel
687,Centerville,US,82.65,clear sky,39.6284,-84.1594,"Country Inn & Suites by Radisson, Dayton South, OH"
688,Banda Aceh,ID,78.73,overcast clouds,5.5577,95.3222,Sulthan Hotel International
689,Bucerias,MX,88.99,overcast clouds,20.75,-105.3333,Villa del Palmar Flamingos Beach Resort & Spa Riviera Nayarit
692,Praya,CV,77.38,scattered clouds,14.9215,-23.5087,LT Aparthotel
696,Lingao,CN,81.23,overcast clouds,19.9103,109.6859,Lingao Ditai Inn
697,Ikeda,JP,78.69,scattered clouds,34.8221,135.4298,マスミ荘
698,Caravelas,BR,76.89,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
699,Puerto Carreno,CO,84.15,few clouds,6.189,-67.4859,Casa Hotel Victoria
700,Union,US,86.22,broken clouds,40.6334,-74.2663,Homewood Suites by Hilton Newark-Cranford
