City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
356,Yelets,RU,52.6237,38.5017,74.16,72,100,1.19,overcast clouds
357,Sassandra,CI,4.95,-6.0833,75.36,80,6,7.11,clear sky
358,Qaqortoq,GL,60.7167,-46.0333,46.0,98,100,3.87,light rain
359,Hualmay,PE,-11.0964,-77.6139,67.77,68,22,9.15,few clouds
360,Hasaki,JP,35.7333,140.8333,73.8,94,11,8.03,few clouds
361,Dunedin,NZ,-45.8742,170.5036,46.8,93,100,6.29,overcast clouds
362,Lantana,US,26.5867,-80.052,92.08,71,48,5.01,scattered clouds
363,Solwezi,ZM,-12.1688,26.3894,56.41,48,0,3.18,clear sky
364,Midland,US,31.9974,-102.0779,91.06,51,90,0.0,overcast clouds
365,Fort Myers Beach,US,26.452,-81.9481,94.06,73,74,1.99,broken clouds
366,Deder,ET,9.3167,41.45,60.67,74,88,6.49,overcast clouds
367,Perpignan,FR,42.75,2.75,83.84,42,0,17.27,clear sky
368,Hithadhoo,MV,-0.6,73.0833,81.25,74,30,2.46,scattered clouds
369,Jiwani,PK,25.05,61.7417,84.52,85,36,15.21,scattered clouds
370,Rosarito,MX,32.3333,-117.0333,98.4,60,8,12.15,clear sky
371,Lipin Bor,RU,60.2622,37.9763,66.85,59,0,6.98,clear sky
372,Taunggyi,MM,20.7833,97.0333,65.71,97,100,3.2,overcast clouds
373,Bryanka,UA,48.511,38.6722,76.14,59,0,2.68,clear sky
374,College,US,64.8569,-147.8028,65.59,68,90,3.0,overcast clouds
375,Port Hardy,CA,50.6996,-127.4199,62.78,63,75,5.75,broken clouds
376,Danilov,RU,58.1908,40.1717,66.88,59,84,3.11,light rain
377,Mareeba,AU,-17.0,145.4333,66.92,81,50,2.57,scattered clouds
378,Chuncheng,CN,22.1731,111.7886,77.63,89,100,3.51,overcast clouds
379,Ukiah,US,39.1502,-123.2078,101.12,28,0,5.64,clear sky
380,Big Rapids,US,43.6981,-85.4837,83.91,43,1,3.44,clear sky
381,Labuhan,ID,-6.8844,112.2051,76.48,84,17,6.71,few clouds
382,Tual,ID,-5.6667,132.75,79.52,83,100,17.34,overcast clouds
383,Rozkishne,UA,48.5074,39.3004,80.35,51,11,3.89,few clouds
384,Sumenep,ID,-7.0167,113.8667,79.03,79,87,8.61,overcast clouds
385,Rudbar,AF,30.15,62.6,96.33,16,0,18.19,clear sky
386,Andenes,NO,69.3143,16.1194,48.18,87,75,17.27,broken clouds
387,Hervey Bay,AU,-25.2986,152.8535,51.03,70,0,3.0,clear sky
388,Trapani,IT,37.8333,12.6667,75.38,75,3,11.12,clear sky
389,Toul,FR,48.6667,5.9167,80.89,47,0,6.91,clear sky
390,Bollnas,SE,61.3482,16.3946,56.25,62,8,12.39,clear sky
391,Bafra,TR,41.5678,35.9069,75.52,81,0,3.0,clear sky
392,La Cruz,MX,23.9167,-106.9,95.47,63,1,10.0,clear sky
393,West Plains,US,36.7281,-91.8524,82.81,76,100,3.0,overcast clouds
394,Nishihara,JP,26.1842,127.7558,81.68,83,20,10.36,few clouds
395,Novyy Urgal,RU,51.0736,132.5642,58.46,86,100,3.0,overcast clouds
396,Mattru,SL,7.6244,-11.8332,75.15,96,83,4.07,light rain
397,Buraydah,SA,26.326,43.975,95.45,30,100,6.17,overcast clouds
398,San Policarpo,PH,12.1791,125.5072,78.3,89,93,6.29,overcast clouds
399,Leshukonskoye,RU,64.8989,45.7622,65.1,55,73,5.88,broken clouds
400,Katherine,AU,-14.4667,132.2667,61.12,51,18,8.05,few clouds
401,Lerwick,GB,60.1545,-1.1494,53.6,81,97,7.43,overcast clouds
402,Camocim,BR,-2.9022,-40.8411,84.43,69,81,14.45,broken clouds
403,Batemans Bay,AU,-35.7167,150.1833,43.92,77,100,4.09,overcast clouds
404,Lompoc,US,34.6391,-120.4579,90.21,71,84,1.99,broken clouds
405,Hamilton,US,39.1834,-84.5333,83.98,57,0,1.99,clear sky
406,Taicheng,CN,38.731,113.228,63.46,93,98,2.77,overcast clouds
407,Marsaxlokk,MT,35.8419,14.5431,77.07,83,20,23.02,few clouds
408,Arlit,NE,18.7369,7.3853,102.16,16,19,7.78,few clouds
409,Araouane,ML,18.9048,-3.5265,102.31,19,98,9.91,overcast clouds
410,Kodiak,US,57.79,-152.4072,61.74,74,12,2.53,few clouds
411,Kailua,US,21.4022,-157.7394,80.02,83,90,10.36,overcast clouds
412,Idrinskoye,RU,54.3708,92.1358,57.7,78,100,3.53,overcast clouds
413,Akdagmadeni,TR,39.6603,35.8836,73.72,42,26,4.63,scattered clouds
414,Nizhniy Kuranakh,RU,58.8353,125.4869,62.33,71,0,3.53,clear sky
415,Troitskoye,RU,52.9821,84.6757,57.52,89,5,3.29,clear sky
416,Altay,CN,47.8667,88.1167,60.91,43,24,5.12,few clouds
417,Kavaratti,IN,10.5669,72.642,82.53,78,100,17.74,overcast clouds
418,Ancud,CL,-41.8697,-73.8203,49.53,72,100,5.41,overcast clouds
419,Uglich,RU,57.5275,38.3317,68.54,67,97,2.98,overcast clouds
420,Whitehorse,CA,60.7161,-135.0538,66.97,39,20,8.05,few clouds
421,Vilhena,BR,-12.7406,-60.1458,84.42,48,40,12.66,scattered clouds
422,Teahupoo,PF,-17.8333,-149.2667,66.16,83,100,26.93,moderate rain
423,Cherskiy,RU,68.75,161.3,46.92,60,100,8.3,overcast clouds
424,Patos De Minas,BR,-18.5789,-46.5181,85.3,25,24,9.73,few clouds
425,Tomatlan,MX,19.9333,-105.25,90.97,55,100,6.8,overcast clouds
426,Maarianhamina,AX,60.0973,19.9348,64.26,55,0,4.61,clear sky
427,Baruun-Urt,MN,46.6806,113.2792,59.22,93,0,3.22,clear sky
428,Valparaiso,CL,-33.0393,-71.6273,68.23,41,0,3.44,clear sky
429,Joensuu,FI,62.6012,29.7632,63.09,78,0,3.44,clear sky
430,Dingle,PH,10.9995,122.6711,77.54,86,99,8.79,overcast clouds
431,Imperial,US,33.0334,-115.4175,106.45,24,33,10.8,scattered clouds
432,Key West,US,24.5557,-81.7826,88.0,74,33,14.25,scattered clouds
433,Kumbo,CM,6.2,10.6667,59.18,95,100,3.13,overcast clouds
434,Umm Kaddadah,SD,13.6017,26.6876,79.95,59,99,8.77,overcast clouds
435,Karratha,AU,-20.7377,116.8463,67.84,37,6,5.7,clear sky
436,Puerto Penasco,MX,31.3167,-113.5333,86.92,81,29,18.01,scattered clouds
437,Sinnamary,GF,5.3833,-52.95,83.89,69,85,8.16,overcast clouds
438,Brae,GB,60.3964,-1.353,53.51,82,58,7.16,broken clouds
439,Rocha,UY,-34.4833,-54.3333,50.07,91,100,28.43,overcast clouds
440,Goderich,CA,43.7501,-81.7165,83.03,73,0,10.36,clear sky
441,Yei,SS,4.095,30.6779,66.47,97,100,4.41,moderate rain
442,Dicabisagan,PH,17.0818,122.4157,79.07,88,96,4.92,overcast clouds
443,Sao Filipe,CV,14.8961,-24.4956,74.23,87,100,8.14,overcast clouds
444,Balkanabat,TM,39.5108,54.3671,92.05,24,2,5.5,clear sky
445,Chaohu,CN,31.6,117.8667,75.31,92,72,8.77,broken clouds
446,Mungaa,TZ,-4.9667,34.8833,59.0,48,11,4.79,few clouds
447,Taoudenni,ML,22.6783,-3.9836,110.64,7,6,7.99,clear sky
448,Palamos,ES,41.8484,3.1291,85.37,55,0,1.01,clear sky
449,Olinda,BR,-8.0089,-34.8553,78.53,69,20,16.11,few clouds
450,Nokha,IN,27.6,73.4167,82.02,79,100,24.74,moderate rain
451,Namie,JP,37.4833,141.0,74.77,85,13,3.8,few clouds
452,Clearlake,US,38.9582,-122.6264,98.26,15,0,4.25,clear sky
453,Nome,US,64.5011,-165.4064,52.16,87,90,10.36,overcast clouds
454,Kalamazoo,US,42.2506,-85.55,82.65,55,0,4.43,clear sky
455,Rockland,US,41.1668,-74.0496,85.44,71,87,1.99,overcast clouds
456,Havoysund,NO,70.9963,24.6622,47.28,96,100,16.75,overcast clouds
457,Esso,RU,55.9333,158.7,52.47,99,100,2.71,light rain
458,Egvekinot,RU,66.3167,-179.1667,43.0,96,100,6.02,overcast clouds
459,Petersberg,DE,50.5619,9.7131,74.62,85,0,4.25,clear sky
460,Sao Domingos,BR,-13.3983,-46.3183,90.16,18,5,7.85,clear sky
461,Axim,GH,4.8699,-2.2405,75.85,78,27,6.33,scattered clouds
462,Strezhevoy,RU,60.7333,77.5889,57.18,92,13,6.24,few clouds
463,Elat,IL,29.5581,34.9482,103.84,13,0,13.8,clear sky
464,Clyde River,CA,70.4692,-68.5914,39.43,75,90,14.97,overcast clouds
465,Pekalongan,ID,-6.8886,109.6753,72.01,79,50,4.14,scattered clouds
466,San Jeronimo,PE,-11.9472,-75.2829,56.07,56,96,5.06,overcast clouds
467,Ostersund,SE,63.1792,14.6357,51.62,81,90,19.57,overcast clouds
468,Asyut,EG,27.181,31.1837,98.78,18,3,9.78,clear sky
469,Boralday,KZ,43.3578,76.8594,75.06,35,1,6.71,clear sky
470,Belle Fourche,US,44.6714,-103.8522,96.35,24,0,10.76,clear sky
471,Santa Isabel,BR,-23.3156,-46.2214,76.3,27,9,8.86,clear sky
472,Palu,ID,-0.8917,119.8707,75.79,94,99,2.82,overcast clouds
473,Dinguiraye,GN,11.3,-10.7167,77.67,70,78,1.88,broken clouds
474,Gualaquiza,EC,-3.4,-78.55,62.67,100,100,0.18,moderate rain
